has_insurance,age_group,gender,has_dependent,income,family_history,disease,진료비 총합,급여부분 총합,공단 부담금(급여),민영의료보험 보장금(급여 + 비급여),입원시 급여,입원시 비급여,평균 통원 일일 비용,통원비,본인부담금 총합,급여부분 본인부담 총합,급여부분 본인부담 입원 총합,급여부분 본인부담 통원 총합,비급여부분 본인부담 총합,비급여부분 본인부담 입원 총합,비급여부분본인부담 통원 총합,보험금 수령후 본인부담금,보건의료용 건강기능식품 교통비 가족간병비,생애주기 사망확률,가족력(부모),가족력(형제자매),가족력(전체),가족력 및 건강상태 반영한 질병보장 적정 구성비,일반병원 치료일수,입원치료일수,통원치료일수,요양 치료일수,개인소득 부양가족 무,가구소득 부양가족 유,국민건강보험 민영의료보험 적용 안되는 본인 부담 치료비,일반병원 치료기간생활비,요양병원 치료기간생활비,진단비 필요금액,보건분야 소비자물가지수,생활비 상승률,보건 물가 상승률 반영 진단비 필요금액,,생애주기중 진단비 최고값,,세대주 생활비,월보험료,납기,갱신/비갱신,적정 월납보험료,,월급대비 건강보험료 장기요양보험료,"DB손보기준 
15세 
20세 
30세 
40세 
50세 
60세",users_reg,min_coverage,avg_coverage,max_coverage,mdn_coverage
1,20,2,1,,,5,2465285,1632019,1403011,959347,111916,361971,67896,485459,1062274,229008,124351,104657,833266,452464,380803,102928,286000,8.62,11.15,13.53,13.53,3,11,4,7,,,,388928,676500,9324630,10390058,513869,26758050,27271920,17271920,39754405,29754405,19180018,,20,비갱신,,,,,49050,100000,11770321.87,100000000,10000000
1,20,2,1,,,6,1213869,803581,644548,516128,77719,178229,200138,260180,569321,159033,86355,72678,410288,222786,187501,53193,286000,13.09,19.64,19.64,19.64,2,2,1,1,,,,339193,123000,9324630,9786823,448157,25277160,25725317,5725317,38417032,18417032,18365035,,20,비갱신,,,,,184323,0,24248206.45,558139000,20000000
1,20,2,1,,,7,613166,405916,309757,275680,46993,90029,106660,138658,303409,96159,52214,43945,207250,112537,94713,27729,286000,13.09,19.64,19.64,19.64,2,2,1,1,,,,313729,123000,,436729,414513,329087,743600,-9256400,1599317,-8400683,18339571,,20,비갱신,,,,,45517,100000,12409306.53,60000000,10000000
1,30,1,1,,,1,8790834,5819532,5303294,3136825,252286,1290734,13853,1593806,3487540,516238,280317,235921,2971302,1613417,1357885,350715,286000,26.53,66.33,66.33,92.86,1,177,62,115,,3360000,5756000,636715,19824000,16981440,37442155,792675,77947204,78739879,54739879,103482305,79482305,54246957,,20,비갱신,268800,460480,근로자,9686,371512,0,26161373.97,800000000,24000000
1,30,1,1,,,2,1740385,1152135,944750,720490,101349,255536,111879,363605,795635,207385,112610,94775,588250,319420,268830,75145,286000,0.00,0.00,0.00,0.00,-,5,2,3,,일변환,30대 가구주,361145,560000,,921145,449605,1185978,1635583,-2364417,2375769,-1624231,30144613,,20,비갱신,,,117750,,138623,0,4960115.353,50000000,4000000
1,30,1,1,,,3,12166850,8054455,6691338,4954889,666155,1786425,96243,2502309,5475512,1363117,740173,622944,4112395,2233031,1879365,520623,286000,7.10,9.18,11.15,11.15,3,40,14,26,,112000,가구원수,806623,4480000,16981440,22268063,1004201,45451413,46455614,26455614,62394169,42394169,35438563,,20,비갱신,,,사업주,,193540,0,21735614.61,300000000,20000000
1,30,1,1,,,4,3289734,2177804,1674793,1466872,245821,483022,94619,738028,1614941,503011,273135,229876,1111930,603778,508152,148069,286000,7.10,9.18,11.15,11.15,3,12,4,8,,,3,434069,1344000,16981440,18759509,540392,38809937,39350329,19350329,47977550,27977550,31187231,,20,비갱신,,,117750,,270166,0,19217250.64,800000000,20000000
1,30,1,1,,,5,2006689,1328428,1096498,823938,113344,294637,49226,415957,910191,231930,125938,105992,678261,368296,309965,86253,286000,7.10,9.18,11.15,11.15,3,13,5,8,,,일변환,372253,1456000,16981440,18809693,463434,39047133,39510567,29510567,53370147,43370147,31263943,,20,비갱신,,,,,79902,100000,10229761.28,100000000,10000000
1,30,1,1,,,6,4999633,3309757,2976503,1709443,162861,734082,284483,812500,2023130,333254,180957,152297,1689876,917603,772273,313687,286000,10.25,15.38,15.38,15.38,2,5,2,3,,,191867,599687,560000,16981440,18141127,746576,37149568,37896145,17896145,49818758,29818758,30383154,,20,비갱신,,,,,341798,0,21736271.89,800000000,20000000
1,30,1,1,,,7,982831,650634,521251,418478,63229,144306,108175,210942,461580,129383,70255,59128,332197,180383,151814,43102,286000,10.25,15.38,15.38,15.38,2,3,1,2,,,,329102,336000,,665102,409714,711587,1121300,-8878700,1876329,-8123671,29835514,,20,비갱신,,,,,73628,100000,10112103.23,60000000,10000000
